subject_id	reported_sex	consent_code	study_nickname	dbgap_submission
NA19919	M	NRUP	HapMap	FALSE
NA19916	M	NRUP	HapMap	FALSE
NA19835	F	NRUP	HapMap	FALSE
NA20282	F	NRUP	HapMap	FALSE
NA19703	M	NRUP	HapMap	FALSE
NA19902	F	NRUP	HapMap	FALSE
NA19901	F	NRUP	HapMap	FALSE
NA19908	M	NRUP	HapMap	FALSE
NA19914	F	NRUP	HapMap	FALSE
NA20287	F	NRUP	HapMap	FALSE
NA20335	M	NRUP	HapMap	FALSE
NA19713	F	NRUP	HapMap	FALSE
NA19904	M	NRUP	HapMap	FALSE
NA19917	F	NRUP	HapMap	FALSE
NA19982	M	NRUP	HapMap	FALSE
NA20340	M	NRUP	HapMap	FALSE
NA20297	M	NRUP	HapMap	FALSE
NA19909	F	NRUP	HapMap	FALSE
NA19834	M	NRUP	HapMap	FALSE
NA20317	F	NRUP	HapMap	FALSE
NA19818	M	NRUP	HapMap	FALSE
NA20290	F	NRUP	HapMap	FALSE
NA20295	M	NRUP	HapMap	FALSE
NA20346	M	NRUP	HapMap	FALSE
NA19921	F	NRUP	HapMap	FALSE
NA20281	M	NRUP	HapMap	FALSE
NA20359	F	NRUP	HapMap	FALSE
NA20301	F	NRUP	HapMap	FALSE
NA20349	M	NRUP	HapMap	FALSE
NA20294	F	NRUP	HapMap	FALSE
NA20337	F	NRUP	HapMap	FALSE
NA20357	F	NRUP	HapMap	FALSE
NA19900	M	NRUP	HapMap	FALSE
NA20128	F	NRUP	HapMap	FALSE
NA20348	M	NRUP	HapMap	FALSE
NA20289	F	NRUP	HapMap	FALSE
NA20344	F	NRUP	HapMap	FALSE
NA20333	F	NRUP	HapMap	FALSE
NA20277	F	NRUP	HapMap	FALSE
NA20300	F	NRUP	HapMap	FALSE
NA19819	F	NRUP	HapMap	FALSE
NA20343	M	NRUP	HapMap	FALSE
NA19625	F	NRUP	HapMap	FALSE
NA20332	F	NRUP	HapMap	FALSE
NA19700	M	NRUP	HapMap	FALSE
NA20291	M	NRUP	HapMap	FALSE
NA20342	M	NRUP	HapMap	FALSE
NA20334	F	NRUP	HapMap	FALSE
NA20356	M	NRUP	HapMap	FALSE
NA20292	F	NRUP	HapMap	FALSE
NA20350	M	NRUP	HapMap	FALSE
NA19983	F	NRUP	HapMap	FALSE
NA20279	M	NRUP	HapMap	FALSE
NA20288	M	NRUP	HapMap	FALSE
NA20284	M	NRUP	HapMap	FALSE
NA19712	F	NRUP	HapMap	FALSE
NA20322	F	NRUP	HapMap	FALSE
NA19704	F	NRUP	HapMap	FALSE
NA19714	F	NRUP	HapMap	FALSE
NA19701	F	NRUP	HapMap	FALSE
NA20358	M	NRUP	HapMap	FALSE
NA20363	F	NRUP	HapMap	FALSE
NA20360	M	NRUP	HapMap	FALSE
NA20129	F	NRUP	HapMap	FALSE
NA19705	M	NRUP	HapMap	FALSE
NA19836	F	NRUP	HapMap	FALSE
NA20319	F	NRUP	HapMap	FALSE
NA20345	M	NRUP	HapMap	FALSE
NA20302	M	NRUP	HapMap	FALSE
NA19711	M	NRUP	HapMap	FALSE
NA20347	M	NRUP	HapMap	FALSE
NA19702	M	NRUP	HapMap	FALSE
NA20126	M	NRUP	HapMap	FALSE
NA20364	F	NRUP	HapMap	FALSE
NA20336	F	NRUP	HapMap	FALSE
NA19915	M	NRUP	HapMap	FALSE
NA19708	F	NRUP	HapMap	FALSE
NA20341	F	NRUP	HapMap	FALSE
NA19918	M	NRUP	HapMap	FALSE
NA19828	M	NRUP	HapMap	FALSE
NA19985	F	NRUP	HapMap	FALSE
NA20276	F	NRUP	HapMap	FALSE
NA20127	F	NRUP	HapMap	FALSE
NA19984	M	NRUP	HapMap	FALSE
NA20298	M	NRUP	HapMap	FALSE
NA20351	M	NRUP	HapMap	FALSE
NA20412	F	NRUP	HapMap	FALSE
NA06989	F	NRUP	HapMap	FALSE
NA11891	M	NRUP	HapMap	FALSE
NA11843	M	NRUP	HapMap	FALSE
NA12341	F	NRUP	HapMap	FALSE
NA12739	M	NRUP	HapMap	FALSE
NA10850	F	NRUP	HapMap	FALSE
NA06984	M	NRUP	HapMap	FALSE
NA12877	M	NRUP	HapMap	FALSE
NA12275	F	NRUP	HapMap	FALSE
NA06986	M	NRUP	HapMap	FALSE
NA12272	M	NRUP	HapMap	FALSE
NA10845	M	NRUP	HapMap	FALSE
NA10852	F	NRUP	HapMap	FALSE
NA07051	M	NRUP	HapMap	FALSE
NA12400	F	NRUP	HapMap	FALSE
NA12344	M	NRUP	HapMap	FALSE
NA12777	M	NRUP	HapMap	FALSE
NA12287	F	NRUP	HapMap	FALSE
NA10837	M	NRUP	HapMap	FALSE
NA12383	F	NRUP	HapMap	FALSE
NA12340	M	NRUP	HapMap	FALSE
NA12708	F	NRUP	HapMap	FALSE
NA12273	F	NRUP	HapMap	FALSE
NA11892	F	NRUP	HapMap	FALSE
NA12546	M	NRUP	HapMap	FALSE
NA12843	F	NRUP	HapMap	FALSE
NA12766	M	NRUP	HapMap	FALSE
NA12348	F	NRUP	HapMap	FALSE
NA12817	M	NRUP	HapMap	FALSE
NA10840	F	NRUP	HapMap	FALSE
NA06997	F	NRUP	HapMap	FALSE
NA11917	M	NRUP	HapMap	FALSE
NA12718	F	NRUP	HapMap	FALSE
NA12282	M	NRUP	HapMap	FALSE
NA11920	F	NRUP	HapMap	FALSE
NA12776	F	NRUP	HapMap	FALSE
NA12283	F	NRUP	HapMap	FALSE
NA07435	M	NRUP	HapMap	FALSE
NA12828	F	NRUP	HapMap	FALSE
NA07045	F	NRUP	HapMap	FALSE
NA07031	F	NRUP	HapMap	FALSE
NA12336	F	NRUP	HapMap	FALSE
NA07349	M	NRUP	HapMap	FALSE
NA12827	M	NRUP	HapMap	FALSE
NA12375	M	NRUP	HapMap	FALSE
NA12343	F	NRUP	HapMap	FALSE
NA12335	M	NRUP	HapMap	FALSE
NA12778	F	NRUP	HapMap	FALSE
NA12832	F	NRUP	HapMap	FALSE
NA11930	M	NRUP	HapMap	FALSE
NA12890	F	NRUP	HapMap	FALSE
NA07037	F	NRUP	HapMap	FALSE
NA07347	M	NRUP	HapMap	FALSE
NA12829	M	NRUP	HapMap	FALSE
NA12749	F	NRUP	HapMap	FALSE
NA11894	F	NRUP	HapMap	FALSE
NA12286	M	NRUP	HapMap	FALSE
NA10865	M	NRUP	HapMap	FALSE
NA10864	F	NRUP	HapMap	FALSE
NA10853	M	NRUP	HapMap	FALSE
NA11918	F	NRUP	HapMap	FALSE
NA12830	F	NRUP	HapMap	FALSE
NA12818	F	NRUP	HapMap	FALSE
NA10836	F	NRUP	HapMap	FALSE
NA11893	M	NRUP	HapMap	FALSE
NA11919	M	NRUP	HapMap	FALSE
NA12489	F	NRUP	HapMap	FALSE
NA12399	M	NRUP	HapMap	FALSE
NA12413	M	NRUP	HapMap	FALSE
NA10843	F	NRUP	HapMap	FALSE
NA12842	M	NRUP	HapMap	FALSE
NA12347	M	NRUP	HapMap	FALSE
NA07346	F	NRUP	HapMap	FALSE
NA12775	M	NRUP	HapMap	FALSE
NA07014	F	NRUP	HapMap	FALSE
NA12767	F	NRUP	HapMap	FALSE
NA12889	M	NRUP	HapMap	FALSE
NA12386	F	NRUP	HapMap	FALSE
NA06995	M	NRUP	HapMap	FALSE
NA12376	F	NRUP	HapMap	FALSE
NA12342	M	NRUP	HapMap	FALSE
NA12748	M	NRUP	HapMap	FALSE
NA11931	F	NRUP	HapMap	FALSE
NA12045	M	NRUP	HapMap	FALSE
NA12750	M	NRUP	HapMap	FALSE
NA11831	M	NRUP	HapMap	FALSE
NA12146	M	NRUP	HapMap	FALSE
NA11882	F	NRUP	HapMap	FALSE
NA07056	F	NRUP	HapMap	FALSE
NA12707	M	NRUP	HapMap	FALSE
NA12154	M	NRUP	HapMap	FALSE
NA12753	F	NRUP	HapMap	FALSE
NA11839	M	NRUP	HapMap	FALSE
NA10859	F	NRUP	HapMap	FALSE
NA12875	F	NRUP	HapMap	FALSE
NA07348	F	NRUP	HapMap	FALSE
NA12156	F	NRUP	HapMap	FALSE
NA12044	F	NRUP	HapMap	FALSE
NA11992	M	NRUP	HapMap	FALSE
NA11829	M	NRUP	HapMap	FALSE
NA12239	F	NRUP	HapMap	FALSE
NA12762	M	NRUP	HapMap	FALSE
NA12716	M	NRUP	HapMap	FALSE
NA12878	F	NRUP	HapMap	FALSE
NA10856	M	NRUP	HapMap	FALSE
NA12874	M	NRUP	HapMap	FALSE
NA12760	M	NRUP	HapMap	FALSE
NA06985	F	NRUP	HapMap	FALSE
NA12003	M	NRUP	HapMap	FALSE
NA10835	M	NRUP	HapMap	FALSE
NA07022	M	NRUP	HapMap	FALSE
NA12813	F	NRUP	HapMap	FALSE
NA10839	F	NRUP	HapMap	FALSE
NA07055	F	NRUP	HapMap	FALSE
NA12056	M	NRUP	HapMap	FALSE
NA10863	F	NRUP	HapMap	FALSE
NA12145	F	NRUP	HapMap	FALSE
NA12814	M	NRUP	HapMap	FALSE
NA10847	F	NRUP	HapMap	FALSE
NA12006	F	NRUP	HapMap	FALSE
NA12763	F	NRUP	HapMap	FALSE
NA07357	M	NRUP	HapMap	FALSE
NA12144	M	NRUP	HapMap	FALSE
NA10831	F	NRUP	HapMap	FALSE
NA07000	F	NRUP	HapMap	FALSE
NA11832	F	NRUP	HapMap	FALSE
NA06991	F	NRUP	HapMap	FALSE
NA11840	F	NRUP	HapMap	FALSE
NA12802	F	NRUP	HapMap	FALSE
NA12761	F	NRUP	HapMap	FALSE
NA10830	M	NRUP	HapMap	FALSE
NA10855	F	NRUP	HapMap	FALSE
NA06994	M	NRUP	HapMap	FALSE
NA11993	F	NRUP	HapMap	FALSE
NA11995	F	NRUP	HapMap	FALSE
NA12891	M	NRUP	HapMap	FALSE
NA12864	M	NRUP	HapMap	FALSE
NA12751	F	NRUP	HapMap	FALSE
NA10861	F	NRUP	HapMap	FALSE
NA12005	M	NRUP	HapMap	FALSE
NA12234	F	NRUP	HapMap	FALSE
NA07345	F	NRUP	HapMap	FALSE
NA07029	M	NRUP	HapMap	FALSE
NA12892	F	NRUP	HapMap	FALSE
NA12248	M	NRUP	HapMap	FALSE
NA10846	M	NRUP	HapMap	FALSE
NA12801	M	NRUP	HapMap	FALSE
NA12872	M	NRUP	HapMap	FALSE
NA12155	M	NRUP	HapMap	FALSE
NA06993	M	NRUP	HapMap	FALSE
NA11830	F	NRUP	HapMap	FALSE
NA10838	M	NRUP	HapMap	FALSE
NA12249	F	NRUP	HapMap	FALSE
NA12057	F	NRUP	HapMap	FALSE
NA12812	M	NRUP	HapMap	FALSE
NA11881	M	NRUP	HapMap	FALSE
NA11994	M	NRUP	HapMap	FALSE
NA12873	F	NRUP	HapMap	FALSE
NA12815	F	NRUP	HapMap	FALSE
NA12740	F	NRUP	HapMap	FALSE
NA12752	M	NRUP	HapMap	FALSE
NA12043	M	NRUP	HapMap	FALSE
NA12264	M	NRUP	HapMap	FALSE
NA10854	F	NRUP	HapMap	FALSE
NA12865	F	NRUP	HapMap	FALSE
NA18597	F	NRUP	HapMap	FALSE
NA18615	F	NRUP	HapMap	FALSE
NA18557	M	NRUP	HapMap	FALSE
NA18628	F	NRUP	HapMap	FALSE
NA18745	M	NRUP	HapMap	FALSE
NA18640	F	NRUP	HapMap	FALSE
NA18747	M	NRUP	HapMap	FALSE
NA18596	F	NRUP	HapMap	FALSE
NA18536	M	NRUP	HapMap	FALSE
NA18599	F	NRUP	HapMap	FALSE
NA18544	M	NRUP	HapMap	FALSE
NA18602	F	NRUP	HapMap	FALSE
NA18614	F	NRUP	HapMap	FALSE
NA18548	M	NRUP	HapMap	FALSE
NA18616	F	NRUP	HapMap	FALSE
NA18559	M	NRUP	HapMap	FALSE
NA18619	F	NRUP	HapMap	FALSE
NA18638	M	NRUP	HapMap	FALSE
NA18639	M	NRUP	HapMap	FALSE
NA18627	F	NRUP	HapMap	FALSE
NA18631	F	NRUP	HapMap	FALSE
NA18634	F	NRUP	HapMap	FALSE
NA18642	F	NRUP	HapMap	FALSE
NA18626	F	NRUP	HapMap	FALSE
NA18543	M	NRUP	HapMap	FALSE
NA18610	F	NRUP	HapMap	FALSE
NA18617	F	NRUP	HapMap	FALSE
NA18613	M	NRUP	HapMap	FALSE
NA18647	M	NRUP	HapMap	FALSE
NA18630	F	NRUP	HapMap	FALSE
NA18641	F	NRUP	HapMap	FALSE
NA18748	M	NRUP	HapMap	FALSE
NA18749	M	NRUP	HapMap	FALSE
NA18757	M	NRUP	HapMap	FALSE
NA18546	M	NRUP	HapMap	FALSE
NA18643	M	NRUP	HapMap	FALSE
NA18645	M	NRUP	HapMap	FALSE
NA18534	M	NRUP	HapMap	FALSE
NA18595	F	NRUP	HapMap	FALSE
NA18618	F	NRUP	HapMap	FALSE
NA18740	M	NRUP	HapMap	FALSE
NA18524	M	NRUP	HapMap	FALSE
NA18635	M	NRUP	HapMap	FALSE
NA18537	F	NRUP	HapMap	FALSE
NA18572	M	NRUP	HapMap	FALSE
NA18592	F	NRUP	HapMap	FALSE
NA18526	F	NRUP	HapMap	FALSE
NA18529	F	NRUP	HapMap	FALSE
NA18558	M	NRUP	HapMap	FALSE
NA18562	M	NRUP	HapMap	FALSE
NA18545	F	NRUP	HapMap	FALSE
NA18609	M	NRUP	HapMap	FALSE
NA18552	F	NRUP	HapMap	FALSE
NA18611	M	NRUP	HapMap	FALSE
NA18555	F	NRUP	HapMap	FALSE
NA18566	F	NRUP	HapMap	FALSE
NA18563	M	NRUP	HapMap	FALSE
NA18570	F	NRUP	HapMap	FALSE
NA18612	M	NRUP	HapMap	FALSE
NA18621	M	NRUP	HapMap	FALSE
NA18622	M	NRUP	HapMap	FALSE
NA18573	F	NRUP	HapMap	FALSE
NA18577	F	NRUP	HapMap	FALSE
NA18579	F	NRUP	HapMap	FALSE
NA18632	M	NRUP	HapMap	FALSE
NA18636	M	NRUP	HapMap	FALSE
NA18593	F	NRUP	HapMap	FALSE
NA18603	M	NRUP	HapMap	FALSE
NA18624	M	NRUP	HapMap	FALSE
NA18550	F	NRUP	HapMap	FALSE
NA18605	M	NRUP	HapMap	FALSE
NA18542	F	NRUP	HapMap	FALSE
NA18532	F	NRUP	HapMap	FALSE
NA18561	M	NRUP	HapMap	FALSE
NA18608	M	NRUP	HapMap	FALSE
NA18564	F	NRUP	HapMap	FALSE
NA18571	F	NRUP	HapMap	FALSE
NA18620	M	NRUP	HapMap	FALSE
NA18623	M	NRUP	HapMap	FALSE
NA18576	F	NRUP	HapMap	FALSE
NA18582	F	NRUP	HapMap	FALSE
NA18633	M	NRUP	HapMap	FALSE
NA18637	M	NRUP	HapMap	FALSE
NA18594	F	NRUP	HapMap	FALSE
NA18792	F	NRUP	HapMap	FALSE
NA18795	F	NRUP	HapMap	FALSE
NA18794	M	NRUP	HapMap	FALSE
NA18538	F	NRUP	HapMap	FALSE
NA18541	F	NRUP	HapMap	FALSE
NA18580	F	NRUP	HapMap	FALSE
NA18591	F	NRUP	HapMap	FALSE
NA18644	F	NRUP	HapMap	FALSE
NA18649	F	NRUP	HapMap	FALSE
NA18739	F	NRUP	HapMap	FALSE
NA18751	F	NRUP	HapMap	FALSE
NA18752	F	NRUP	HapMap	FALSE
NA18763	F	NRUP	HapMap	FALSE
NA18769	M	NRUP	HapMap	FALSE
NA18771	F	NRUP	HapMap	FALSE
NA18773	M	NRUP	HapMap	FALSE
NA18774	F	NRUP	HapMap	FALSE
NA18779	F	NRUP	HapMap	FALSE
NA18780	F	NRUP	HapMap	FALSE
NA18525	F	NRUP	HapMap	FALSE
NA18553	F	NRUP	HapMap	FALSE
NA18567	F	NRUP	HapMap	FALSE
NA18569	F	NRUP	HapMap	FALSE
NA18583	F	NRUP	HapMap	FALSE
NA18629	M	NRUP	HapMap	FALSE
NA18648	M	NRUP	HapMap	FALSE
NA18741	F	NRUP	HapMap	FALSE
NA18742	F	NRUP	HapMap	FALSE
NA18743	F	NRUP	HapMap	FALSE
NA18755	F	NRUP	HapMap	FALSE
NA18758	F	NRUP	HapMap	FALSE
NA18759	F	NRUP	HapMap	FALSE
NA18760	F	NRUP	HapMap	FALSE
NA18761	M	NRUP	HapMap	FALSE
NA18762	F	NRUP	HapMap	FALSE
NA18765	M	NRUP	HapMap	FALSE
NA18777	F	NRUP	HapMap	FALSE
NA18783	M	NRUP	HapMap	FALSE
NA18787	M	NRUP	HapMap	FALSE
NA18790	F	NRUP	HapMap	FALSE
NA18527	F	NRUP	HapMap	FALSE
NA18528	F	NRUP	HapMap	FALSE
NA18531	F	NRUP	HapMap	FALSE
NA18533	F	NRUP	HapMap	FALSE
NA18560	F	NRUP	HapMap	FALSE
NA18750	F	NRUP	HapMap	FALSE
NA18772	M	NRUP	HapMap	FALSE
NA18778	F	NRUP	HapMap	FALSE
NA18784	F	NRUP	HapMap	FALSE
NA18785	F	NRUP	HapMap	FALSE
NA18798	M	NRUP	HapMap	FALSE
NA18539	F	NRUP	HapMap	FALSE
NA18568	F	NRUP	HapMap	FALSE
NA17970	F	NRUP	HapMap	FALSE
NA17977	F	NRUP	HapMap	FALSE
NA17981	F	NRUP	HapMap	FALSE
NA17993	F	NRUP	HapMap	FALSE
NA18101	F	NRUP	HapMap	FALSE
NA18105	F	NRUP	HapMap	FALSE
NA18109	F	NRUP	HapMap	FALSE
NA18129	F	NRUP	HapMap	FALSE
NA18135	F	NRUP	HapMap	FALSE
NA18139	F	NRUP	HapMap	FALSE
NA18144	F	NRUP	HapMap	FALSE
NA18150	F	NRUP	HapMap	FALSE
NA18154	F	NRUP	HapMap	FALSE
NA18162	F	NRUP	HapMap	FALSE
NA17974	M	NRUP	HapMap	FALSE
NA17975	M	NRUP	HapMap	FALSE
NA17980	M	NRUP	HapMap	FALSE
NA17986	M	NRUP	HapMap	FALSE
NA17989	M	NRUP	HapMap	FALSE
NA17997	M	NRUP	HapMap	FALSE
NA18106	M	NRUP	HapMap	FALSE
NA18114	M	NRUP	HapMap	FALSE
NA18122	M	NRUP	HapMap	FALSE
NA18138	M	NRUP	HapMap	FALSE
NA18149	M	NRUP	HapMap	FALSE
NA17987	F	NRUP	HapMap	FALSE
NA17988	F	NRUP	HapMap	FALSE
NA17998	F	NRUP	HapMap	FALSE
NA18107	F	NRUP	HapMap	FALSE
NA18108	F	NRUP	HapMap	FALSE
NA18128	F	NRUP	HapMap	FALSE
NA18146	F	NRUP	HapMap	FALSE
NA18148	F	NRUP	HapMap	FALSE
NA18161	F	NRUP	HapMap	FALSE
NA18670	F	NRUP	HapMap	FALSE
NA18694	F	NRUP	HapMap	FALSE
NA18696	F	NRUP	HapMap	FALSE
NA17965	M	NRUP	HapMap	FALSE
NA17967	M	NRUP	HapMap	FALSE
NA17969	M	NRUP	HapMap	FALSE
NA17983	M	NRUP	HapMap	FALSE
NA18117	M	NRUP	HapMap	FALSE
NA18120	M	NRUP	HapMap	FALSE
NA18124	M	NRUP	HapMap	FALSE
NA18125	M	NRUP	HapMap	FALSE
NA18127	M	NRUP	HapMap	FALSE
NA18132	M	NRUP	HapMap	FALSE
NA18141	M	NRUP	HapMap	FALSE
NA18143	M	NRUP	HapMap	FALSE
NA18147	M	NRUP	HapMap	FALSE
NA18155	M	NRUP	HapMap	FALSE
NA18158	M	NRUP	HapMap	FALSE
NA18674	M	NRUP	HapMap	FALSE
NA17982	F	NRUP	HapMap	FALSE
NA17990	F	NRUP	HapMap	FALSE
NA18112	F	NRUP	HapMap	FALSE
NA18118	F	NRUP	HapMap	FALSE
NA18151	F	NRUP	HapMap	FALSE
NA18153	F	NRUP	HapMap	FALSE
NA18702	F	NRUP	HapMap	FALSE
NA18704	F	NRUP	HapMap	FALSE
NA17976	M	NRUP	HapMap	FALSE
NA17979	M	NRUP	HapMap	FALSE
NA18156	M	NRUP	HapMap	FALSE
NA18152	M	NRUP	HapMap	FALSE
NA18160	M	NRUP	HapMap	FALSE
NA18682	M	NRUP	HapMap	FALSE
NA18689	M	NRUP	HapMap	FALSE
NA18685	M	NRUP	HapMap	FALSE
NA17962	F	NRUP	HapMap	FALSE
NA17966	F	NRUP	HapMap	FALSE
NA17999	M	NRUP	HapMap	FALSE
NA17968	F	NRUP	HapMap	FALSE
NA17995	F	NRUP	HapMap	FALSE
NA17996	F	NRUP	HapMap	FALSE
